"";"user_id";"reading_index";"part_id";"duration"
"13231";"User_1015";"3";1057253;1
"13232";"User_1015";"4";1057300;1
"13233";"User_1015";"5";1057363;541
"13234";"User_1015";"6";1057443;1
"13235";"User_1015";"7";1057409;1
"13236";"User_1015";"8";1057502;432
"13237";"User_1015";"9";1057615;1
"13242";"User_1016";"1";1056764;71
"13527";"User_1016";"10";1056955;103
"13528";"User_1016";"11";1056980;88
"13529";"User_1016";"12";1057023;NA
"13243";"User_1016";"2";1056793;53
"13244";"User_1016";"3";1056865;NA
"13515";"User_1016";"4";1056764;926
"13519";"User_1016";"5";1056793;55
"13520";"User_1016";"6";1056865;202
"13524";"User_1016";"7";1056909;54
"13525";"User_1016";"8";1056928;7
"13526";"User_1016";"9";1056945;12
"13249";"User_1017";"1";1057569;7
"24454";"User_1017";"10";1056909;10
"24455";"User_1017";"11";1056928;4
"24456";"User_1017";"12";1056945;3
"24457";"User_1017";"13";1056955;10
"24458";"User_1017";"14";1056980;5
"24459";"User_1017";"15";1057023;24
"24460";"User_1017";"16";1057074;13
"24461";"User_1017";"17";1057141;26
"24462";"User_1017";"18";1057179;4
"24463";"User_1017";"19";1057199;11
"13250";"User_1017";"2";1057615;22
"24464";"User_1017";"20";1057253;13
"24465";"User_1017";"21";1057300;5
"24466";"User_1017";"22";1057363;37
"24467";"User_1017";"23";1057409;12
"24468";"User_1017";"24";1057443;4
"24469";"User_1017";"25";1057502;14
"24470";"User_1017";"26";1057569;17
"24472";"User_1017";"27";1057615;NA
"13251";"User_1017";"3";1059094;5
"13252";"User_1017";"4";1059159;NA
"23769";"User_1017";"5";1059094;9
"23770";"User_1017";"6";1059159;NA
"24451";"User_1017";"7";1056764;92
"24452";"User_1017";"8";1056793;15
"24453";"User_1017";"9";1056865;30
"13253";"User_1018";"1";1057253;519
"17657";"User_1018";"10";1057759;2
"17658";"User_1018";"11";1057824;NA
"13254";"User_1018";"2";1057300;649
"13255";"User_1018";"3";1057363;474
"13256";"User_1018";"4";1057409;406
"13257";"User_1018";"5";1057443;NA
"13330";"User_1018";"6";1057443;774
"13335";"User_1018";"7";1057502;NA
"17643";"User_1018";"8";1056764;NA
"17656";"User_1018";"9";1057671;1001
"13273";"User_1019";"1";1056764;183
"13296";"User_1019";"10";1057074;103
"13297";"User_1019";"11";1057141;321
"13302";"User_1019";"12";1057179;54
"13303";"User_1019";"13";1057199;133
"13304";"User_1019";"14";1057253;243
"13305";"User_1019";"15";1057300;99
"13306";"User_1019";"16";1057363;28
"13307";"User_1019";"17";1057409;68
"13308";"User_1019";"18";1057443;21
"13309";"User_1019";"19";1057502;117
"13274";"User_1019";"2";1056793;642
"13310";"User_1019";"20";1057569;14
"13311";"User_1019";"21";1057615;18
"13312";"User_1019";"22";1057671;126
"13313";"User_1019";"23";1057759;238
"13314";"User_1019";"24";1057824;156
"13315";"User_1019";"25";1059094;29
"13316";"User_1019";"26";1059159;NA
"13847";"User_1019";"27";1056764;6
"13848";"User_1019";"28";1056793;1
"13849";"User_1019";"29";1056865;10
"13279";"User_1019";"3";1056865;2532
"13851";"User_1019";"30";1056909;6
"13852";"User_1019";"31";1056928;116
"13855";"User_1019";"32";1056945;13
"13858";"User_1019";"33";1056955;212
"13861";"User_1019";"34";1056980;NA
"21708";"User_1019";"35";1056909;12
"21709";"User_1019";"36";1056928;5
"21710";"User_1019";"37";1056945;33
"21711";"User_1019";"38";1056764;NA
"21779";"User_1019";"39";1056764;NA
"13290";"User_1019";"4";1056909;58
"13291";"User_1019";"5";1056928;11
"13292";"User_1019";"6";1056945;52
"13293";"User_1019";"7";1056955;11
"13294";"User_1019";"8";1056980;54
"13295";"User_1019";"9";1057023;339
"748";"User_102";"1";1056764;NA
"999";"User_102";"2";1056764;NA
"13283";"User_1020";"1";1056909;0
"13284";"User_1020";"2";1056928;0
"13285";"User_1020";"3";1056945;1
"13286";"User_1020";"4";1056955;NA
"13317";"User_1021";"1";1057671;NA
"13324";"User_1022";"1";1056764;1
"13338";"User_1022";"10";1057074;1
"13339";"User_1022";"11";1057141;1420
"13340";"User_1022";"12";1056980;1
"13341";"User_1022";"13";1057023;1
"13342";"User_1022";"14";1057074;1
"13343";"User_1022";"15";1057141;27
"13344";"User_1022";"16";1057179;2
"13345";"User_1022";"17";1057199;410
"13352";"User_1022";"18";1057253;1
"13353";"User_1022";"19";1057300;1
"13325";"User_1022";"2";1056793;1
"13354";"User_1022";"20";1057363;852
"13358";"User_1022";"21";1057409;1
"13359";"User_1022";"22";1057443;1
"13360";"User_1022";"23";1057502;1111
"13361";"User_1022";"24";1057569;1
"13362";"User_1022";"25";1057615;NA
"13326";"User_1022";"3";1056865;1903
"13331";"User_1022";"4";1056909;1
"13332";"User_1022";"5";1056928;1
"13333";"User_1022";"6";1056945;1
"13334";"User_1022";"7";1056955;359
"13336";"User_1022";"8";1056980;1
"13337";"User_1022";"9";1057023;1
"13346";"User_1023";"1";1056764;12
"13347";"User_1023";"2";1056793;5
"13348";"User_1023";"3";1056865;9
"13349";"User_1023";"4";1056909;227
"13350";"User_1023";"5";1056928;6
"13351";"User_1023";"6";1056945;84
"13355";"User_1023";"7";1056955;524
"13356";"User_1023";"8";1056980;4
"13357";"User_1023";"9";1057023;NA
"13363";"User_1024";"1";1056980;9
"13372";"User_1024";"10";1057409;9
"16432";"User_1024";"100";1057074;12
"16433";"User_1024";"101";1057141;56
"16434";"User_1024";"102";1057179;10
"16435";"User_1024";"103";1057199;5
"16436";"User_1024";"104";1057253;2165
"16437";"User_1024";"105";1057300;7
"16438";"User_1024";"106";1057363;13
"16439";"User_1024";"107";1057409;299
"16440";"User_1024";"108";1057443;25
"16441";"User_1024";"109";1057502;2032
"13373";"User_1024";"11";1057443;3
"16454";"User_1024";"110";1057569;254
"16455";"User_1024";"111";1057615;35
"16456";"User_1024";"112";1057253;2
"16457";"User_1024";"113";1057300;1
"16458";"User_1024";"114";1057363;249
"16459";"User_1024";"115";1057569;2
"16460";"User_1024";"116";1057615;NA
"17710";"User_1024";"117";1057179;12
"17711";"User_1024";"118";1057199;23
"17712";"User_1024";"119";1057253;2
"13374";"User_1024";"12";1057502;11
"17713";"User_1024";"120";1057300;3
"17714";"User_1024";"121";1057363;9
"17715";"User_1024";"122";1057409;NA
"17740";"User_1024";"123";1057443;NA
"18409";"User_1024";"124";1057569;5
"18410";"User_1024";"125";1057671;499
"18426";"User_1024";"126";1057502;1
"18427";"User_1024";"127";1057443;1
"18428";"User_1024";"128";1057409;656
"18456";"User_1024";"129";1057569;1
"13375";"User_1024";"13";1057569;8
"18457";"User_1024";"130";1057615;1205
"18461";"User_1024";"131";1057443;1
"18462";"User_1024";"132";1057409;6
"18463";"User_1024";"133";1057569;1
"18464";"User_1024";"134";1057615;NA
"19374";"User_1024";"135";1057671;1
"19375";"User_1024";"136";1057759;1
"19376";"User_1024";"137";1057824;NA
"19471";"User_1024";"138";1057502;1
"19472";"User_1024";"139";1057443;1
"13376";"User_1024";"14";1057615;5
"19473";"User_1024";"140";1057409;82
"19474";"User_1024";"141";1057615;1
"19475";"User_1024";"142";1057569;12
"19476";"User_1024";"143";1059159;1
"19477";"User_1024";"144";1059094;775
"19478";"User_1024";"145";1057671;1
"19479";"User_1024";"146";1057759;1
"19480";"User_1024";"147";1057824;NA
"19517";"User_1024";"148";1057671;2
"19518";"User_1024";"149";1057759;NA
"13377";"User_1024";"15";1057671;20
"13378";"User_1024";"16";1057759;7
"13379";"User_1024";"17";1057824;7
"13380";"User_1024";"18";1059094;28
"13381";"User_1024";"19";1059159;NA
"13364";"User_1024";"2";1057023;53
"13730";"User_1024";"20";1056764;3
"13731";"User_1024";"21";1056793;1
"13732";"User_1024";"22";1056865;1289
"13736";"User_1024";"23";1056909;84
"13737";"User_1024";"24";1056928;7
"13738";"User_1024";"25";1056945;100
"13739";"User_1024";"26";1056955;215
"13740";"User_1024";"27";1056980;61
"13741";"User_1024";"28";1057023;3
"13742";"User_1024";"29";1057074;1
"13365";"User_1024";"3";1057074;4
"13743";"User_1024";"30";1057141;2385
"13761";"User_1024";"31";1057179;4
"13762";"User_1024";"32";1057199;NA
"14091";"User_1024";"33";1057409;39
"14092";"User_1024";"34";1057443;42
"14093";"User_1024";"35";1057502;180
"14095";"User_1024";"36";1057253;8
"14096";"User_1024";"37";1057300;9
"14097";"User_1024";"38";1057363;NA
"14497";"User_1024";"39";1057179;447
"13366";"User_1024";"4";1057141;18
"14503";"User_1024";"40";1057199;328
"14505";"User_1024";"41";1057253;1473
"14512";"User_1024";"42";1057300;1139
"14514";"User_1024";"43";1057363;NA
"14615";"User_1024";"44";1057300;1
"14616";"User_1024";"45";1057253;1114
"14630";"User_1024";"46";1057409;123
"14631";"User_1024";"47";1057502;1
"14632";"User_1024";"48";1057443;2077
"14637";"User_1024";"49";1057569;2
"13367";"User_1024";"5";1057179;1
"14638";"User_1024";"50";1057615;NA
"15206";"User_1024";"51";1057569;81
"15207";"User_1024";"52";1057615;26
"15208";"User_1024";"53";1057671;20
"15209";"User_1024";"54";1057759;11
"15210";"User_1024";"55";1057824;NA
"15590";"User_1024";"56";1056764;NA
"15624";"User_1024";"57";1057569;660
"15625";"User_1024";"58";1057615;2948
"15637";"User_1024";"59";1057671;993
"13368";"User_1024";"6";1057199;4
"15650";"User_1024";"60";1057824;1
"15651";"User_1024";"61";1057759;2285
"15664";"User_1024";"62";1059094;76
"15665";"User_1024";"63";1059159;NA
"16324";"User_1024";"64";1057569;2
"16325";"User_1024";"65";1059094;2
"16327";"User_1024";"66";1059159;650
"16347";"User_1024";"67";1056980;2
"16348";"User_1024";"68";1057023;1
"16349";"User_1024";"69";1057074;1
"13369";"User_1024";"7";1057253;3
"16350";"User_1024";"70";1057141;83
"16352";"User_1024";"71";1057179;5
"16353";"User_1024";"72";1057199;15
"16354";"User_1024";"73";1057253;25
"16356";"User_1024";"74";1057300;11
"16357";"User_1024";"75";1057363;15
"16358";"User_1024";"76";1057409;508
"16371";"User_1024";"77";1057443;450
"16376";"User_1024";"78";1057502;21
"16377";"User_1024";"79";1057569;4
"13370";"User_1024";"8";1057300;9
"16378";"User_1024";"80";1057615;245
"16379";"User_1024";"81";1057671;2
"16380";"User_1024";"82";1057759;10
"16381";"User_1024";"83";1057824;489
"16382";"User_1024";"84";1057409;1
"16383";"User_1024";"85";1057443;2
"16384";"User_1024";"86";1057502;2877
"16408";"User_1024";"87";1057569;1
"16409";"User_1024";"88";1057615;468
"16411";"User_1024";"89";1059094;2
"13371";"User_1024";"9";1057363;18
"16412";"User_1024";"90";1059159;2438
"16423";"User_1024";"91";1056764;2
"16424";"User_1024";"92";1056793;9
"16425";"User_1024";"93";1056865;16
"16426";"User_1024";"94";1056909;2
"16427";"User_1024";"95";1056928;1
"16428";"User_1024";"96";1056945;1
"16429";"User_1024";"97";1056955;44
"16430";"User_1024";"98";1056980;3
"16431";"User_1024";"99";1057023;40
"13382";"User_1025";"1";1057671;5
"20678";"User_1025";"10";1057074;18
"20679";"User_1025";"11";1057141;23
"20680";"User_1025";"12";1057179;7
"20681";"User_1025";"13";1057199;27
"20682";"User_1025";"14";1057253;56
"20683";"User_1025";"15";1057300;85
"20684";"User_1025";"16";1057363;NA
"22921";"User_1025";"17";1056909;5
"22922";"User_1025";"18";1056928;3
"22923";"User_1025";"19";1056945;44
"13383";"User_1025";"2";1057759;NA
"22925";"User_1025";"20";1056955;NA
"20671";"User_1025";"3";1056764;81
"20672";"User_1025";"4";1056793;16
"20673";"User_1025";"5";1056865;115
"20674";"User_1025";"6";1056764;2
"20675";"User_1025";"7";1056909;5
"20676";"User_1025";"8";1056980;2
"20677";"User_1025";"9";1057023;16
"13384";"User_1026";"1";1057569;40
"13434";"User_1026";"10";1057300;90
"13436";"User_1026";"11";1057363;406
"13439";"User_1026";"12";1057409;609
"13475";"User_1026";"13";1057443;NA
"13483";"User_1026";"14";1057502;2657
"13489";"User_1026";"15";1057409;NA
"15976";"User_1026";"16";1057569;1093
"15979";"User_1026";"17";1057615;275
"15981";"User_1026";"18";1057569;11
"15982";"User_1026";"19";1057409;2
"13385";"User_1026";"2";1057179;94
"15983";"User_1026";"20";1057443;4
"15984";"User_1026";"21";1057502;877
"15994";"User_1026";"22";1057569;1
"15995";"User_1026";"23";1057615;NA
"16164";"User_1026";"24";1057569;49
"16165";"User_1026";"25";1057615;NA
"19005";"User_1026";"26";1057569;4
"19006";"User_1026";"27";1057615;3061
"19007";"User_1026";"28";1057253;3
"19008";"User_1026";"29";1057300;11
"13386";"User_1026";"3";1056980;37
"19009";"User_1026";"30";1057363;7
"19010";"User_1026";"31";1057409;14
"19011";"User_1026";"32";1057443;NA
"19218";"User_1026";"33";1057569;1
"19219";"User_1026";"34";1057615;17
"19220";"User_1026";"35";1057569;1
"19221";"User_1026";"36";1057615;10
"19222";"User_1026";"37";1057671;28
"19223";"User_1026";"38";1057671;872
"19224";"User_1026";"39";1057759;NA
"13387";"User_1026";"4";1057023;196
"19746";"User_1026";"40";1057671;106
"19747";"User_1026";"41";1057759;3181
"19756";"User_1026";"42";1057824;437
"19759";"User_1026";"43";1057671;3
"19760";"User_1026";"44";1057759;1
"19761";"User_1026";"45";1057824;57
"19763";"User_1026";"46";1059094;74
"19765";"User_1026";"47";1057671;165
"19768";"User_1026";"48";1057759;NA
"19814";"User_1026";"49";1057824;NA
"13397";"User_1026";"5";1057074;260
"20748";"User_1026";"50";1059094;356
"20749";"User_1026";"51";1059159;NA
"13398";"User_1026";"6";1057141;NA
"13425";"User_1026";"7";1057179;58
"13427";"User_1026";"8";1057199;109
"13429";"User_1026";"9";1057253;383
"13412";"User_1027";"1";1057179;NA
"13558";"User_1027";"10";1057253;6
"13559";"User_1027";"11";1057300;56
"13560";"User_1027";"12";1057300;403
"13566";"User_1027";"13";1057363;26
"13567";"User_1027";"14";1057409;NA
"13579";"User_1027";"15";1057443;17
"13580";"User_1027";"16";1057502;33
"13581";"User_1027";"17";1057671;2
"13582";"User_1027";"18";1057759;2190
"13597";"User_1027";"19";1057179;3
"13506";"User_1027";"2";1057253;1763
"13598";"User_1027";"20";1057199;146
"13599";"User_1027";"21";1057409;38
"13600";"User_1027";"22";1057443;43
"13601";"User_1027";"23";1057502;127
"13602";"User_1027";"24";1057671;4
"13603";"User_1027";"25";1057759;NA
"13632";"User_1027";"26";1057569;11
"13633";"User_1027";"27";1057409;117
"13634";"User_1027";"28";1057569;9
"13635";"User_1027";"29";1056980;3
"13516";"User_1027";"3";1057300;17
"13636";"User_1027";"30";1057023;19
"13637";"User_1027";"31";1057074;31
"13638";"User_1027";"32";1057141;2511
"13639";"User_1027";"33";1057179;1070
"13642";"User_1027";"34";1057199;17
"13643";"User_1027";"35";1057253;29
"13644";"User_1027";"36";1057300;39
"13645";"User_1027";"37";1057363;91
"13647";"User_1027";"38";1057409;180
"13648";"User_1027";"39";1057443;518
"13517";"User_1027";"4";1057300;1766
"13649";"User_1027";"40";1057502;940
"13650";"User_1027";"41";1057671;2
"13651";"User_1027";"42";1057759;919
"13652";"User_1027";"43";1057409;2
"13653";"User_1027";"44";1057443;1
"13654";"User_1027";"45";1057502;2525
"13655";"User_1027";"46";1057502;2
"13656";"User_1027";"47";1057443;NA
"13657";"User_1027";"48";1057824;NA
"13533";"User_1027";"5";1057300;534
"13540";"User_1027";"6";1057409;89
"13541";"User_1027";"7";1057671;666
"13554";"User_1027";"8";1057759;2173
"13555";"User_1027";"9";1057824;181
"13413";"User_1028";"1";1056764;41
"13422";"User_1028";"10";1057074;69
"13423";"User_1028";"11";1057141;62
"13424";"User_1028";"12";1057179;70
"13426";"User_1028";"13";1057199;75
"13428";"User_1028";"14";1057253;150
"13430";"User_1028";"15";1057300;80
"13431";"User_1028";"16";1057363;62
"13432";"User_1028";"17";1057409;61
"13433";"User_1028";"18";1057443;116
"13435";"User_1028";"19";1057502;924
"13414";"User_1028";"2";1056793;70
"13473";"User_1028";"20";1057569;3
"13474";"User_1028";"21";1057615;3798
"13484";"User_1028";"22";1057443;1
"13485";"User_1028";"23";1057409;1
"13486";"User_1028";"24";1057502;234
"13487";"User_1028";"25";1057300;NA
"13490";"User_1028";"26";1057253;11
"13491";"User_1028";"27";1057615;1
"13492";"User_1028";"28";1057569;NA
"13583";"User_1028";"29";1057409;2
"13415";"User_1028";"3";1056865;239
"13584";"User_1028";"30";1057443;1
"13585";"User_1028";"31";1057502;2558
"13604";"User_1028";"32";1057671;12
"13605";"User_1028";"33";1057759;45
"13606";"User_1028";"34";1057824;61
"13607";"User_1028";"35";1059094;22
"13608";"User_1028";"36";1059159;71
"13609";"User_1028";"37";1059094;3
"13610";"User_1028";"38";1059159;NA
"16167";"User_1028";"39";1057671;2
"13416";"User_1028";"4";1056909;9
"16168";"User_1028";"40";1057759;1
"16169";"User_1028";"41";1057824;13
"16170";"User_1028";"42";1059094;2
"16171";"User_1028";"43";1059159;NA
"20435";"User_1028";"44";1057671;3
"20436";"User_1028";"45";1059094;3
"20437";"User_1028";"46";1059159;NA
"20794";"User_1028";"47";1059159;1
"20795";"User_1028";"48";1059094;18
"20796";"User_1028";"49";1059159;2
"13417";"User_1028";"5";1056928;5
"20797";"User_1028";"50";1059094;27
"20798";"User_1028";"51";1059159;1
"20799";"User_1028";"52";1059094;173
"20800";"User_1028";"53";1059094;2
"20801";"User_1028";"54";1059159;1311
"20810";"User_1028";"55";1057671;1
"20811";"User_1028";"56";1057759;1
"20812";"User_1028";"57";1057824;509
"20818";"User_1028";"58";1057615;1
"20819";"User_1028";"59";1057569;NA
"13418";"User_1028";"6";1056945;12
"13419";"User_1028";"7";1056955;11
"13420";"User_1028";"8";1056980;4
"13421";"User_1028";"9";1057023;35
"13437";"User_1029";"1";1059094;2
"13438";"User_1029";"2";1059159;NA
"765";"User_103";"1";1057253;2
"766";"User_103";"2";1057300;87
"767";"User_103";"3";1057363;NA
"13476";"User_1030";"1";1056909;4
"13477";"User_1030";"2";1056928;113
"13478";"User_1030";"3";1056909;NA
"13496";"User_1031";"1";1056764;133
"13497";"User_1031";"2";1056793;80
"13498";"User_1031";"3";1056865;NA
"13518";"User_1032";"1";1057409;NA
"16588";"User_1032";"2";1057409;13
"16589";"User_1032";"3";1057443;17
"16590";"User_1032";"4";1057502;NA
"21913";"User_1032";"5";1057409;NA
"13545";"User_1033";"1";1056764;1
"13563";"User_1033";"10";1056793;2
"13564";"User_1033";"11";1056865;318
"13568";"User_1033";"12";1056764;3
"13569";"User_1033";"13";1056793;1
"13570";"User_1033";"14";1056865;7
"13571";"User_1033";"15";1056909;23
"13572";"User_1033";"16";1056928;33
"13573";"User_1033";"17";1056945;835
"13574";"User_1033";"18";1056955;230
"13575";"User_1033";"19";1056980;137
"13546";"User_1033";"2";1056793;1
"13576";"User_1033";"20";1057023;1092
"13577";"User_1033";"21";1056980;95
"13578";"User_1033";"22";1057023;508
"13586";"User_1033";"23";1057074;637
"13590";"User_1033";"24";1057141;976
"13591";"User_1033";"25";1056980;1
"13592";"User_1033";"26";1057023;1
"13593";"User_1033";"27";1057074;1
"13594";"User_1033";"28";1057141;7
"13595";"User_1033";"29";1057179;1
"13547";"User_1033";"3";1056865;72
"13596";"User_1033";"30";1057199;NA
"14265";"User_1033";"31";1057179;239
"14269";"User_1033";"32";1057199;NA
"15131";"User_1033";"33";1057179;1
"15132";"User_1033";"34";1057199;NA
"15713";"User_1033";"35";1057179;4
"15714";"User_1033";"36";1057199;10
"15715";"User_1033";"37";1056980;4
"15716";"User_1033";"38";1057023;4
"15717";"User_1033";"39";1057074;NA
"13549";"User_1033";"4";1056764;181
"13551";"User_1033";"5";1056793;NA
"13556";"User_1033";"6";1056764;13
"13557";"User_1033";"7";1056793;174
"13561";"User_1033";"8";1056865;99
"13562";"User_1033";"9";1056764;12
"13565";"User_1034";"1";1056764;NA
"14149";"User_1034";"10";1057023;1
"14150";"User_1034";"11";1057074;1
"14151";"User_1034";"12";1057141;338
"14152";"User_1034";"13";1057179;1
"14153";"User_1034";"14";1057199;146
"14154";"User_1034";"15";1057253;9
"14155";"User_1034";"16";1057300;1
"14156";"User_1034";"17";1057363;NA
"15064";"User_1034";"18";1056764;12
"15065";"User_1034";"19";1056793;153
"14141";"User_1034";"2";1056764;1
"15068";"User_1034";"20";1056980;2
"15069";"User_1034";"21";1057023;6
"15070";"User_1034";"22";1057074;3
"15071";"User_1034";"23";1057141;93
"15074";"User_1034";"24";1057179;3
"15075";"User_1034";"25";1057199;2
"15076";"User_1034";"26";1057253;119
"15079";"User_1034";"27";1057300;108
"15084";"User_1034";"28";1057363;117
"15087";"User_1034";"29";1057409;149
"14142";"User_1034";"3";1056865;1
"15091";"User_1034";"30";1057443;90
"15092";"User_1034";"31";1057502;143
"15093";"User_1034";"32";1057569;4
"15094";"User_1034";"33";1057615;17
"15096";"User_1034";"34";1057615;2
"15097";"User_1034";"35";1057569;151
"15099";"User_1034";"36";1057671;1
"15100";"User_1034";"37";1057759;3
"15103";"User_1034";"38";1057824;19
"15104";"User_1034";"39";1057569;55
"14143";"User_1034";"4";1056793;234
"15109";"User_1034";"40";1057615;41
"15115";"User_1034";"41";1057671;126
"15125";"User_1034";"42";1057759;16
"15127";"User_1034";"43";1057824;8
"15128";"User_1034";"44";1059094;1
"15129";"User_1034";"45";1059159;787
"15155";"User_1034";"46";1057671;2
"15156";"User_1034";"47";1057759;1
"15157";"User_1034";"48";1057824;NA
"15872";"User_1034";"49";1057671;14
"14144";"User_1034";"5";1056909;50
"15873";"User_1034";"50";1057759;89
"15874";"User_1034";"51";1057824;428
"15875";"User_1034";"52";1059094;97
"15876";"User_1034";"53";1059159;495
"15877";"User_1034";"54";1057569;9
